Longitude,Latitude,Address
-79.33183,43.660021,721 Eastern Ave
-79.398277,43.644789,533 King St W
-79.380577,43.664656,512 Church St
-79.391432,43.641382,65 Navy Wharf Ct
-79.419117,43.640155,75 Hanna Ave
-79.3751,43.646443,�35 The Esplanade
-79.358436,43.675396,720 Broadview Ave
-79.371778,43.642142,39 Queens Quay E
-79.385941,43.63884,�249 Queens Quay W
-79.375275,43.666518,155 Wellesley St E
-79.38129,43.668992,88 Isabella St
-79.384985,43.647524,100 University Ave
-79.387067,43.64838,211 Adelaide St W
-79.387855,43.646109,�200 Wellington St W
-79.391417,43.650527,168 John St
-79.391793,43.646722,370 King St W
-79.392212,43.644986,312 Wellington St W
-79.3961,43.645531,478 King St W
-79.419426,43.654397,735 College St
-79.427178,43.637424,�200 Dufferin St
